Name,ID
damtjern (lier),Q11041346
weikuangba,Q11041898
trumultis,Q11050981
bong co,Q11054306
bam co,Q11059173
bumu cuo,Q11059642
palung co,Q11060050
nianjie cuo,Q11061433
kangro caka,Q11063644
xujia yang,Q11070522
xogor co,Q11070743
deyu cuo,Q11071107
xin hu,Q11072114
qagam co,Q11073119
qagong co,Q11073139
dongbu cuo,Q11074259
dung co,Q11074261
caiduo chaka,Q11075763
zhamu cuo,Q11075825
tuoheping co,Q11076016
toson hu,Q11076075
lashi sea,Q11076932
lamoredi,Q11077053
laxong co,Q11077123
nara yumco,Q11077668
chainjoin co,Q11077813
rigan peicuo,Q11086129
angdar co,Q11087334
khndrung tso,Q11087376
kunchuke cuo,Q11087482
mingshui hu,Q11088081
mingjing hu,Q11088229
puga cuo,Q11089638
pur co,Q11089697
yuebing pao,Q11092047
chaoyang hu,Q11092638
mugecuo,Q11093043
mugqu co,Q11093114
lake ad excellentiam''''',Q11093279
yangjia hu,Q11100745
sumxi co,Q11104484
linchong hu,Q11105500
gomang co,Q11107377
gopug co,Q11107389
chagannuo'er,Q11108975
liuye hu,Q11109447
geren cuo,Q11111042
meihua lake,Q11115236
minzho caka,Q11128923
yonghong hu,Q11132644
gyangnyi caka,Q11134293
jam co,Q11135520
tangxun lake,Q11136307
yi hu,Q11137679
tuohu,Q11141180
ze cuo,Q11145431
yangsha pao,Q11145591
luoshe yang,Q11146162
donggu cuo,Q11146320
changdang hu,Q11147412
vikene saarjrv,Q11150976
yongbo cuo,Q11151783
jiyu hu,Q11173390
yazi hu,Q11174449
maiqiong cuo,Q11175536
matang hu,Q11175638
huangnihu,Q11177909
huanggaihu,Q11178067
heishibei hu,Q11179356
qigai co,Q11180256
longtan lake; yilan,Q11180582
longluan lake,Q11180700
longwangmiao pao,Q11181652
national dong hwa university,Q11194540
biae augustowskie (lake),Q11197426
kstrijrv,Q11213952
svrin lake,Q11218316
tunnsjen,Q11220087
viksjen,Q11220095
steinsetfjorden,Q11220165
sre syndin,Q11220421
vre kollsj,Q11220591
furusjen,Q11220635
harestuvatnet,Q11220653
hersjen,Q11220664
hyvatnet,Q11220720
langvatnet,Q11220749
leirungsvatnet,Q11220775
midtre syndin,Q11220803
aurdalsfjorden,Q11220902
garsjen,Q11220957
langvannet,Q11220966
fossersjen,Q11220986
lake gjerdingen,Q11221125
kolbeinsvatnet,Q11221135
halsjen,Q11221199
mylla,Q11221319
yddin,Q11221561
langsjen,Q11222331
helgesjen,Q11222356
frysjen,Q11222462
botnersjen,Q11222895
aurset,Q11222919
sandungen,Q11222967
tannsjen,Q11223402
langsjen,Q11223462
borrevannet,Q11223614
